"Food","FCDB Food ID","Serving Size or CSM","Serving Size Unit","Quantity per 100 g","Nutrient Unit","Quantity per serve","Nutrient Unit","%DI Per Serve"
"Flounder, flesh, deep-fried","K57","100","g","0.0","g","0.0","g",""
"Cod, flesh, poached","K7","100","g","0.0","g","0.0","g",""
"Flounder, flesh, microwaved","K59","100","g","0.0","g","0.0","g",""
"Orange roughy, flesh, deep-fried","K79","100","g","0.0","g","0.0","g",""
"Orange roughy, flesh, baked","K78","100","g","0.0","g","0.0","g",""
"Cod, flesh, raw","K8","115","g","0.0","g","0.0","g",""
"Orange roughy, flesh, microwaved","K81","100","g","0.0","g","0.0","g",""
"Cod, flesh, frozen, raw","K9","115","g","0.0","g","0.0","g",""
"Orange roughy, flesh, grilled","K80","100","g","0.0","g","0.0","g",""
"Trout, brown, flesh, baked","K99","100","g","0.0","g","0.0","g",""
"Apple, 'Cox's Orange', flesh & skin, raw","L1","130","g","0.0","g","0.0","g",""
"Apple, 'Red Delicious', flesh & skin, raw","L10","147","g","0.0","g","0.0","g",""
"Kiwifruit, Zespri™ Organic Green ('Hayward') Kiwifruit, flesh & seeds, raw","L10022","87","g","0.0","g","0.0","g",""
"Kiwifruit, Zespri™ Organic SunGold Kiwifruit, flesh & seeds, raw","L10021","110","g","0.0","g","0.0","g",""
"Honeydew melon, peeled, raw, fresh","L10059","150","g","0.0","g","0.0","g",""
"Rockmelon, peeled, raw, fresh","L10058","150","g","0.0","g","0.0","g",""
"Feijoa, flesh, raw, fresh","L10070","100","g","0.0","g","0.0","g",""
"Raspberry, raw, fresh","L10074","133","g","0.0","g","0.0","g",""
"Tamarillo, red, flesh & seed, raw, fresh","L10071","120","g","0.0","g","0.0","g",""
"Mango, ripe, flesh, raw, fresh","L10091","161","g","0.0","g","0.0","g",""
"Apple, cooking, skin and flesh, raw, fresh","L10075","125","g","0.0","g","0.0","g",""
"Apple, slices, dried or dehydrated, unsweetened","L10115","40","g","0.0","g","0.0","g",""
"Pawpaw (papaya), peeled, pulp, raw","L10114","148","g","0.0","g","0.0","g",""
"Banana, ripe, sliced, frozen","L10117","117","g","0.0","g","0.0","g",""
"Mango, sliced, in syrup, canned, drained","L10119","110","g","0.0","g","0.0","g",""
"Mango, sliced, in syrup, canned, undrained","L10118","127","g","0.0","g","0.0","g",""
"Apple, sliced or pulped, in water, unsweetened, undrained","L10121","110","g","0.0","g","0.0","g",""
"Mango, pulp, canned, sugar-sweetened","L10120","136","g","0.0","g","0.0","g",""
"Pear, in fruit juice, no sugar added, canned, drained","L10123","128","g","0.0","g","0.0","g",""
"Pear, in fruit juice, no sugar added, canned, undrained","L10122","130","g","0.0","g","0.0","g",""
"Pear, in syrup, sugar-sweetened, canned, drained","L10125","128","g","0.0","g","0.0","g",""
"Pear, sliced or quartered, in syrup, sugar-sweetened, canned, undrained","L10124","130","g","0.0","g","0.0","g",""
"Pear, in light syrup, sugar-sweetened, canned, undrained","L10126","131","g","0.0","g","0.0","g",""
"Pear,  in water, artificially sweetened, canned, undrained","L10128","125","g","0.0","g","0.0","g",""
"Pear, in light syrup, sugar-sweetened, canned, drained","L10127","128","g","0.0","g","0.0","g",""
"Boysenberry, in syrup, sugar-sweetened, canned, undrained","L10130","126","g","0.0","g","0.0","g",""
"Boysenberry, in syrup, sugar-sweetened, canned, drained","L10131","127","g","0.0","g","0.0","g",""
"Pear,  in water, artificially sweetened, canned, drained","L10129","128","g","0.0","g","0.0","g",""
"Raspberry, in syrup, sugar-sweetened, canned, drained","L10133","127","g","0.0","g","0.0","g",""
"Raspberry, in syrup, sugar-sweetened, canned, undrained","L10132","129","g","0.0","g","0.0","g",""
"Blackberry, in syrup, sugar-sweetened, canned, drained","L10135","127","g","0.0","g","0.0","g",""
"Blackberry, in syrup, sugar-sweetened, canned, undrained","L10134","127","g","0.0","g","0.0","g",""
"Blueberry, in syrup, sugar-sweetened, canned, drained","L10137","127","g","0.0","g","0.0","g",""
"Blueberry, in syrup, sugar-sweetened, canned, undrained","L10136","126","g","0.0","g","0.0","g",""
"Plums, in syrup, sugar-sweetened, drained","L10141","127","g","0.0","g","0.0","g",""
"Plums, in syrup, sugar-sweetened, undrained","L10140","140","g","0.0","g","0.0","g",""
"Lime, juice, freshly squeezed, no sugar or water added","L10143","15","mL","0.0","g","0.0","g",""
"Passionfruit, pulp with seeds, in syrup, sugar-sweetened, canned","L10142","74","g","0.0","g","0.0","g",""
"Feijoa, pale white-flesh & seeds, stewed, unsweetened","L10150","127","g","0.0","g","0.0","g",""
"Mango, pulp, canned, unsweetened","L10144","134","g","0.0","g","0.0","g",""
"Tamarillo, red-flesh & seeds, poached, unsweetened","L10152","126","g","0.0","g","0.0","g",""
"Passion fruit, pulp with seeds, sugar-sweetened, canned or bottled","L10151","65","g","0.0","g","0.0","g",""
"Apple, cooking, flesh, stewed, unsweetened","L10153","129","g","0.0","g","0.0","g",""
"Feijoa, pale white-flesh & seeds, stewed, sweetened","L10155","129","g","0.0","g","0.0","g",""
"Apple, cooking, skin and flesh, baked without oil, unsweetened","L10154","150","g","0.0","g","0.0","g",""
"Apple, cooking (‘Granny Smith’), peeled, flesh, stewed, sweetened","L10157","131","g","0.0","g","0.0","g",""
"Tamarillo, red-flesh & seeds, poached, sweetened","L10156","129","g","0.0","g","0.0","g",""
"Raspberry, stewed, sweetened","L10162","125","g","0.0","g","0.0","g",""
"Apple, cooking (‘Granny Smith’), skin and flesh, baked without oil, sweetened","L10158","150","g","0.0","g","0.0","g",""
"Strawberry, raw, New Zealand","L1016","175","g","0.0","g","0.0","g",""
"Raspberry, stewed, unsweetened","L10161","124","g","0.0","g","0.0","g",""
"Avocado, flesh, raw","L1017","85","g","0.0","g","0.0","g",""
"Olive, green in brine, stuffed, drained","L1019","15","g","0.0","g","0.0","g",""
"Grape, red or green, seedless, raw, European type","L1018","160","g","0.0","g","0.0","g",""
"Medlar, flesh, raw","L102","116","g","0.0","g","0.0","g",""
"Olive, purple, plain","L1021","15","g","0.0","g","0.0","g",""
"Olive, green, plain, in oil","L1020","15","g","0.0","g","0.0","g",""
"Melon, Rock, Winstone Hybrid 1, flesh, raw","L103","168","g","0.0","g","0.0","g",""
"Cranberry, dried, sweetened","L1023","40","g","0.0","g","0.0","g",""
"Boysenberry, puree, seedless, frozen","L1046","132","g","0.0","g","0.0","g",""
"Boysenberry, frozen, New Zealand","L1045","172","g","0.0","g","0.0","g",""
"Blackcurrant, 'Ben Rua', frozen,","L1048","138","g","0.0","g","0.0","g",""
"Blackcurrant, 'Ben Ard', frozen","L1047","157","g","0.0","g","0.0","g",""
"Blueberry, frozen, New Zealand","L1051","159","g","0.0","g","0.0","g",""
"Blueberry, raw","L1050","157","g","0.0","g","0.0","g",""
"Blackcurrant, puree, frozen","L1052","282","g","0.0","g","0.0","g",""
"Raspberry, 'Wakefield', frozen","L1054","133","g","0.0","g","0.0","g",""
"Raspberry, 'Meeker', frozen","L1055","135","g","0.0","g","0.0","g",""
"Plum, 'Royal Star', flesh, raw","L1053","95","g","0.0","g","0.0","g",""
"Mulberry, raw","L108","140","g","0.0","g","0.0","g",""
"Kiwifruit, Zespri™ Sweet Green Kiwifruit, flesh & seeds, raw","L1078","81","g","0.0","g","0.0","g",""
"Nectarine, 'Fantasia', flesh & skin, raw","L109","143","g","0.0","g","0.0","g",""
"Apple, 'Sturmer', flesh & skin, raw","L11","121","g","0.0","g","0.0","g",""
"Nectarine, 'Red Gold', flesh & skin, raw","L110","143","g","0.0","g","0.0","g",""
"Olive, in brine","L112","15","g","0.0","g","0.0","g",""
"Banana, yellow, ripened, raw","L1101","111","g","0.0","g","0.0","g",""
"Peach, canned in juice, drained","L1122","76","g","0.0","g","0.0","g",""
"Watermelon, flesh, raw","L1121","150","g","0.0","g","0.0","g",""
"Peach, canned in light syrup, drained","L1124","120","g","0.0","g","0.0","g",""
"Peach, canned in juice, undrained","L1123","142","g","0.0","g","0.0","g",""
"Peach, canned in syrup, drained","L1126","120","g","0.0","g","0.0","g",""
"Peach, canned in light syrup, undrained","L1125","136","g","0.0","g","0.0","g",""
"Peach, canned in water, artificially sweetened, drained","L1128","120","g","0.0","g","0.0","g",""
"Peach, canned in water, artificially sweetened, canned, undrained","L1129","125","g","0.0","g","0.0","g",""
"Peach, canned in syrup, undrained","L1127","131","g","0.0","g","0.0","g",""
"Pineapple, canned in juice, drained","L1130","120","g","0.0","g","0.0","g",""
"Juice, orange, raw","L113","250","mL","0.0","g","0.0","g",""
"Pineapple, canned in light syrup, drained","L1132","120","g","0.0","g","0.0","g",""
"Pineapple, canned in juice, undrained","L1131","137","g","0.0","g","0.0","g",""
"Pineapple, canned in syrup, drained","L1134","120","g","0.0","g","0.0","g",""
"Pineapple, canned in light syrup, undrained","L1133","138","g","0.0","g","0.0","g",""
"Apricot, canned in juice, drained","L1136","120","g","0.0","g","0.0","g",""
"Apricot, canned in juice, undrained","L1137","131","g","0.0","g","0.0","g",""
"Pineapple, canned in syrup, undrained","L1135","138","g","0.0","g","0.0","g",""
"Apricot, canned in light syrup, undrained","L1139","134","g","0.0","g","0.0","g",""
"Apricot, canned in light syrup, drained","L1138","120","g","0.0","g","0.0","g",""
"Apricot, canned in syrup, undrained","L1141","132","g","0.0","g","0.0","g",""
"Apricot, canned in syrup, drained","L1140","120","g","0.0","g","0.0","g",""
"Fruit salad, canned in juice, undrained","L1143","133","g","0.0","g","0.0","g",""
"Fruit salad, canned in light syrup, drained","L1144","120","g","0.0","g","0.0","g",""
"Fruit salad, canned in juice, drained","L1142","120","g","0.0","g","0.0","g",""
"Fruit salad, canned in syrup, drained","L1146","120","g","0.0","g","0.0","g",""
"Fruit salad, canned in light syrup, undrained","L1145","131","g","0.0","g","0.0","g",""
"Fruit salad, canned in water, artificially sweetened, drained","L1148","120","g","0.0","g","0.0","g",""
"Fruit salad, canned in syrup, undrained","L1147","135","g","0.0","g","0.0","g",""
"Papaya, canned, undrained","L115","77","g","0.0","g","0.0","g",""
"Apple, 'Braeburn', flesh & skin, raw","L1151","145","g","0.0","g","0.0","g",""
"Fruit salad, canned in water, artificially-sweetened, undrained","L1149","252","g","0.0","g","0.0","g",""
"Apple, 'Granny Smith', flesh & skin, raw","L1152","143","g","0.0","g","0.0","g",""
"Apple, 'Royal Gala', flesh & skin, raw","L1150","130","g","0.0","g","0.0","g",""
"Apple, flesh & skin, raw, combined varieties","L1153","130","g","0.0","g","0.0","g",""
"Apple, flesh, raw, combined varieties","L1154","110","g","0.0","g","0.0","g",""
"Apricot, dried","L1156","40","g","0.0","g","0.0","g",""
"Orange, flesh, raw, USA","L1155","150","g","0.0","g","0.0","g",""
"Avocado, flesh, fresh, raw, early season (September), 'Hass', New Zealand","L1158","85","g","0.0","g","0.0","g",""
"Avocado, 'Hass', New Zealand","L1159","85","g","0.0","g","0.0","g",""
"Avocado, flesh, fresh, raw, late season (April), 'Hass', New Zealand","L1157","85","g","0.0","g","0.0","g",""
"Persimmon, flesh, fresh, raw,  New Zealand","L1160","83","g","0.0","g","0.0","g",""
"Passion fruit, flesh & seed, raw","L116","18","g","0.0","g","0.0","g",""
"Mandarins, flesh, fresh, raw, peak season","L1162","94","g","0.0","g","0.0","g",""
"Date, pitted, flesh, dried","L1161","40","g","0.0","g","0.0","g",""
"Pear, golden russet coloured skin, flesh & skin, fresh, raw, peak season, New Zealand","L1164","150","g","0.0","g","0.0","g",""
"Pear, green to yellow skin, flesh & skin, fresh, raw, peak season, New Zealand","L1163","150","g","0.0","g","0.0","g",""
"Nectarine, yellow, flesh & skin, fresh, raw","L1166","120","g","0.0","g","0.0","g",""
"Pear, nashi, gold colour skin, flesh & skin, fresh, raw","L1165","150","g","0.0","g","0.0","g",""
"Apricot, flesh & skin, raw, fresh","L1168","144","g","0.0","g","0.0","g",""
"Peach, yellow,  flesh and skin, fresh, raw","L1167","160","g","0.0","g","0.0","g",""
"Orange, peeled, seeded, fresh, raw, New Zealand","L1170","150","g","0.0","g","0.0","g",""
"Peach, 'Flamecrest', raw","L117","138","g","0.0","g","0.0","g",""
"Mandarins, flesh, fresh, raw, off season","L1179","150","g","0.0","g","0.0","g",""
"Pear, green to yellow skin, flesh & skin, fresh, raw, off season","L1180","150","g","0.0","g","0.0","g",""
"Peach, 'Golden Dust', flesh & skin, raw","L118","138","g","0.0","g","0.0","g",""
"Orange, peeled, seeded, fresh, raw","L1182","150","g","0.0","g","0.0","g",""
"Pear, golden russet coloured skin, flesh & skin, fresh, raw, off season","L1181","150","g","0.0","g","0.0","g",""
"Pear, green to yellow skin, flesh & skin, fresh, raw","L1184","150","g","0.0","g","0.0","g",""
"Mandarin, flesh, fresh, raw","L1183","150","g","0.0","g","0.0","g",""
"Peach, 'Golden Queen', flesh & skin, raw","L119","138","g","0.0","g","0.0","g",""
"Pear, golden russet coloured skin, flesh & skin, fresh, raw","L1185","150","g","0.0","g","0.0","g",""
"Peach, 'Mary's Choice', flesh & skin, raw","L120","138","g","0.0","g","0.0","g",""
"Rhubarb, stalk, raw, fresh","L1208","130","g","0.0","g","0.0","g",""
"Kiwiberry, whole fruit, fresh, raw","L1212","125","g","0.0","g","0.0","g",""
"Rhubarb, stalk, stewed without sugar, little water added","L1209","133","g","0.0","g","0.0","g",""
"Peach, 'Million Dollar', flesh & skin, raw","L121","138","g","0.0","g","0.0","g",""
"Blackcurrant, frozen","L1225","157","g","0.0","g","0.0","g",""
"Blackberries, whole fruit, frozen","L1226","160","g","0.0","g","0.0","g",""
"Peach, 'Red Haven', flesh & skin, raw","L122","138","g","0.0","g","0.0","g",""
"Raspberry, frozen","L1228","133","g","0.0","g","0.0","g",""
"Pineapple, frozen","L1227","123","g","0.0","g","0.0","g",""
"Peach, 'Springcrest', flesh & skin, raw","L123","138","g","0.0","g","0.0","g",""
"Mango, frozen","L1229","140","g","0.0","g","0.0","g",""
"Boysenberry, frozen","L1231","172","g","0.0","g","0.0","g",""
"Cranberry, frozen","L1230","110","g","0.0","g","0.0","g",""
"Strawberry, frozen","L1233","149","g","0.0","g","0.0","g",""
"Cherry, frozen","L1232","148","g","0.0","g","0.0","g",""
"Kiwifruit, Zespri™ RubyRed Kiwifruit, flesh & seeds, raw","L1266","67","g","0.0","g","0.0","g",""
"Blueberry, frozen","L1234","159","g","0.0","g","0.0","g",""
"Kiwifruit, Zespri™ SunGold Kiwifruit, flesh & seeds, raw","L1268","90","g","0.0","g","0.0","g",""
"Peach, dried","L127","40","g","0.0","g","0.0","g",""
"Kiwifruit, Zespri™ Green Kiwifruit, flesh & seeds, raw","L1267","92","g","0.0","g","0.0","g",""
"Peach, dried, stewed without sugar","L129","129","g","0.0","g","0.0","g",""
"Peach, dried, stewed with sugar","L128","135","g","0.0","g","0.0","g",""
"Pear, 'Louise Bonne de Jersey', flesh & skin, raw","L131","148","g","0.0","g","0.0","g",""
"Pear, 'Beurre Bosc', flesh & skin, raw","L130","148","g","0.0","g","0.0","g",""
"Pear, 'Williams' bon Chretien', flesh & skin, raw","L133","148","g","0.0","g","0.0","g",""
"Pear, cooking, stewed","L138","129","g","0.0","g","0.0","g",""
"Pear, cooking, stewed with sugar","L137","137","g","0.0","g","0.0","g",""
"Plum, 'Coe's Golden Drop', flesh & skin, raw","L147","100","g","0.0","g","0.0","g",""
"Pineapple, flesh, raw","L144","110","g","0.0","g","0.0","g",""
"Plum, Black Doris, flesh & skin, raw","L146","100","g","0.0","g","0.0","g",""
"Plum, 'Victoria Dessert', flesh & skin, raw","L151","100","g","0.0","g","0.0","g",""
"Plum, 'Omega', flesh & skin, raw","L149","100","g","0.0","g","0.0","g",""
"Plum, 'Paterson Late', flesh & skin, raw","L150","100","g","0.0","g","0.0","g",""
"Plum, cooking, stewed","L154","132","g","0.0","g","0.0","g",""
"Plum, cooking, raw","L152","100","g","0.0","g","0.0","g",""
"Plum, cooking, stewed with sugar","L153","134","g","0.0","g","0.0","g",""
"Prune, dried","L157","40","g","0.0","g","0.0","g",""
"Plum, flesh & skin, raw","L155","100","g","0.0","g","0.0","g",""
"Juice, pomegranate, fresh extract","L156","250","mL","0.0","g","0.0","g",""
"Quince, flesh, raw","L160","92","g","0.0","g","0.0","g",""
"Prune, dried, stewed with sugar","L158","126","g","0.0","g","0.0","g",""
"Raisin, seedless","L161","14","g","0.0","g","0.0","g",""
"Prune, dried, stewed","L159","112","g","0.0","g","0.0","g",""
"Apple, dessert, flesh, raw","L17","121","g","0.0","g","0.0","g",""
"Strawberry, canned in syrup, undrained","L171","134","g","0.0","g","0.0","g",""
"Tamarillo, yellow, flesh & seed, raw","L175","120","g","0.0","g","0.0","g",""
"Tangerine, flesh, raw","L176","84","g","0.0","g","0.0","g",""
"Sultana","L173","25","g","0.0","g","0.0","g",""
"Lemon, flesh, raw","L183","65","g","0.0","g","0.0","g",""
"Lemon, peel, raw","L184","6","g","0.0","g","0.0","g",""
"Tangelo, flesh, raw","L179","90","g","0.0","g","0.0","g",""
"Breadfruit, baked","L188","133","g","0.0","g","0.0","g",""
"Breadfruit, boiled","L189","133","g","0.0","g","0.0","g",""
"Apricot, 'Moorpark', flesh & skin, raw","L19","108","g","0.0","g","0.0","g",""
"Banana, 'Opine', cooking, baked","L186","90","g","0.0","g","0.0","g",""
"Pineapple, unripe, flesh","L197","164","g","0.0","g","0.0","g",""
"Custard apple, raw","L192","125","g","0.0","g","0.0","g",""
"Apple, 'Delicious', flesh & skin, raw","L2","130","g","0.0","g","0.0","g",""
"Apricot, 'Sundrop', flesh & skin, raw","L21","108","g","0.0","g","0.0","g",""
"Apricot, 'Steven's Favourite', flesh & skin, raw","L20","108","g","0.0","g","0.0","g",""
"Quince, stewed with sugar","L215","135","g","0.0","g","0.0","g",""
"Peach, flesh, raw","L217","144","g","0.0","g","0.0","g",""
"Guava, raw","L216","150","g","0.0","g","0.0","g",""
"Nectarine, flesh, raw","L218","146","g","0.0","g","0.0","g",""
"Banana, chip, deep-fried","L222","25","g","0.0","g","0.0","g",""
"Pear, canned in juice, drained","L220","120","g","0.0","g","0.0","g",""
"Avocado, California, flesh, raw","L221","85","g","0.0","g","0.0","g",""
"Apricot, flesh & skin, stewed","L25","130","g","0.0","g","0.0","g",""
"Apricot, flesh & skin, stewed with sugar","L24","136","g","0.0","g","0.0","g",""
"Avocado, 'Fuerte', flesh, raw","L29","85","g","0.0","g","0.0","g",""
"Apricot, dried, stewed with sugar","L27","143","g","0.0","g","0.0","g",""
"Apricot, dried, fruit & juice, stewed without sugar","L28","133","g","0.0","g","0.0","g",""
"Babaco, flesh, raw","L31","150","g","0.0","g","0.0","g",""
"Bilberry, raw","L33","115","g","0.0","g","0.0","g",""
"Apple, 'Dunn's Favourite', flesh & skin, raw","L3","130","g","0.0","g","0.0","g",""
"Blackberry, raw","L34","123","g","0.0","g","0.0","g",""
"Blackberry, stewed with sugar","L35","135","g","0.0","g","0.0","g",""
"Cherry, cooking, flesh & skin, raw","L42","164","g","0.0","g","0.0","g",""
"Blackberry, stewed","L36","129","g","0.0","g","0.0","g",""
"Cherry, cooking, stewed with sugar","L43","136","g","0.0","g","0.0","g",""
"Cherry, cooking, stewed","L44","130","g","0.0","g","0.0","g",""
"Cherry, 'Bing', flesh & skin, raw","L46","150","g","0.0","g","0.0","g",""
"Cherry, flesh & skin, raw","L45","150","g","0.0","g","0.0","g",""
"Currant, dried","L49","25","g","0.0","g","0.0","g",""
"Cherry, 'Dawson', flesh & skin, raw","L47","150","g","0.0","g","0.0","g",""
"Cranberry, raw","L48","116","g","0.0","g","0.0","g",""
"Apple, 'Golden Delicious', flesh & skin, raw","L5","130","g","0.0","g","0.0","g",""
"Blackcurrant, raw","L50","118","g","0.0","g","0.0","g",""
"Blackcurrant, stewed","L52","129","g","0.0","g","0.0","g",""
"Redcurrant, raw","L53","118","g","0.0","g","0.0","g",""
"Redcurrant, red, stewed","L55","129","g","0.0","g","0.0","g",""
"Redcurrant, red, stewed with sugar","L54","135","g","0.0","g","0.0","g",""
"Whitecurrant, raw","L56","118","g","0.0","g","0.0","g",""
"Whitecurrant, stewed","L58","129","g","0.0","g","0.0","g",""
"Whitecurrant, stewed with sugar","L57","135","g","0.0","g","0.0","g",""
"Plum, flesh & skin, raw, 'Damson'","L59","100","g","0.0","g","0.0","g",""
"Plum, 'Damson', stewed","L61","130","g","0.0","g","0.0","g",""
"Plum, 'Damson', stewed with sugar","L60","135","g","0.0","g","0.0","g",""
"Feijoa, 'Coolidge', flesh, raw","L63","84","g","0.0","g","0.0","g",""
"Feijoa, 'Triumph', flesh, raw","L66","84","g","0.0","g","0.0","g",""
"Feijoa, 'Mammoth', flesh, raw","L64","84","g","0.0","g","0.0","g",""
"Fig, dried, fruit & juice, stewed with sugar","L69","157","g","0.0","g","0.0","g",""
"Feijoa, 'Superb', flesh, raw","L65","84","g","0.0","g","0.0","g",""
"Apple, 'Gravenstein', flesh & skin, raw","L7","130","g","0.0","g","0.0","g",""
"Fig, dried","L68","32","g","0.0","g","0.0","g",""
"Fig, green, raw","L71","50","g","0.0","g","0.0","g",""
"Pie filling, assorted fruits, canned","L72","135","g","0.0","g","0.0","g",""
"Fig, dried, fruit & juice, stewed without sugar","L70","149","g","0.0","g","0.0","g",""
"Gooseberry, stewed with sugar","L76","136","g","0.0","g","0.0","g",""
"Gooseberry, stewed","L77","134","g","0.0","g","0.0","g",""
"Gooseberry, green, flesh, skin & seeds, raw","L75","158","g","0.0","g","0.0","g",""
"Grapefruit, canned in syrup, not drained","L79","118","g","0.0","g","0.0","g",""
"Apple, 'Jonathan', flesh & skin, raw","L8","130","g","0.0","g","0.0","g",""
"Gooseberry, flesh, skin & seeds, raw","L78","158","g","0.0","g","0.0","g",""
"Grapefruit, 'Morrison's Seedless', raw","L81","118","g","0.0","g","0.0","g",""
"Grape, black, flesh, raw","L82","160","g","0.0","g","0.0","g",""
"Grapefruit, flesh, raw","L80","118","g","0.0","g","0.0","g",""
"Grape, white, flesh & skin, raw","L83","160","g","0.0","g","0.0","g",""
"Greengage, stewed with sugar","L85","127","g","0.0","g","0.0","g",""
"Greengage, flesh & skin, raw","L84","100","g","0.0","g","0.0","g",""
"Greengage, stewed","L86","124","g","0.0","g","0.0","g",""
"Kiwifruit, green, flesh & seed, raw, Bruno","L88","100","g","0.0","g","0.0","g",""
"Guava, canned in syrup, undrained","L87","100","g","0.0","g","0.0","g",""
"Apple, 'Kidd's Orange', flesh & skin, raw","L9","130","g","0.0","g","0.0","g",""
"Lemon, flesh & skin, raw","L92","100","g","0.0","g","0.0","g",""
"Juice, lemon, raw","L91","16","g","0.0","g","0.0","g",""
"Loganberry, canned in juice, undrained","L93","130","g","0.0","g","0.0","g",""
"Loganberry, stewed with sugar","L95","134","g","0.0","g","0.0","g",""
"Loganberry, raw","L94","156","g","0.0","g","0.0","g",""
"Loganberry, stewed","L96","130","g","0.0","g","0.0","g",""
"Lychee, raw","L98","100","g","0.0","g","0.0","g",""
"Lychee, canned in syrup, undrained","L97","134","g","0.0","g","0.0","g",""
"Mandarin, canned in syrup, undrained","L99","133","g","0.0","g","0.0","g",""
"Chicken, separable fat, raw","M10001","15","g","0.0","g","0.0","g",""
"Pork, million chop, lean & fat, raw","M100","100","g","0.0","g","0.0","g",""
"Chicken, skin, raw","M10003","20","g","0.0","g","0.0","g",""
"Chicken, separable fat, baked or roasted, no salt added","M10002","15","g","0.0","g","0.0","g",""
"Chicken, skin, baked or roasted, no salt added","M10004","20","g","0.0","g","0.0","g",""
"Chicken, skin, deli cooked","M10006","20","g","0.0","g","0.0","g",""
"Chicken, skin, smoked","M10005","20","g","0.0","g","0.0","g",""
"Chicken, flesh, breast, fresh, baked or roasted (skin removed before eaten), no fat or salt added","M10008","100","g","0.0","g","0.0","g",""
"Chicken, breast, lean, fresh, raw","M10007","130","g","0.0","g","0.0","g",""
"Chicken, wing, lean, fresh, raw","M10009","130","g","0.0","g","0.0","g",""
"Chicken, drumstick, lean, fresh, raw","M10011","130","g","0.0","g","0.0","g",""
"Chicken, wing, flesh, fresh, baked or roasted (skin removed before eaten), no fat or salt added","M10010","100","g","0.0","g","0.0","g",""
"Chicken, thigh, lean, fresh, raw","M10013","130","g","0.0","g","0.0","g",""
"Chicken, drumstick, flesh, fresh, baked or roasted (skin removed before eaten), no salt or fat added","M10012","100","g","0.0","g","0.0","g",""
"Chicken, thigh, flesh, fresh, baked or roasted (skin removed before eaten), no salt or fat added","M10014","100","g","0.0","g","0.0","g",""
"Chicken, drumstick, flesh, deli cooked","M10016","100","g","0.0","g","0.0","g",""
"Chicken, breast, flesh, deli cooked","M10015","100","g","0.0","g","0.0","g",""
"Chicken, wings, flesh, deli cooked","M10018","100","g","0.0","g","0.0","g",""
"Chicken, thigh, flesh, deli cooked","M10017","100","g","0.0","g","0.0","g",""
"Chicken, breast, smoked, commercial, skin off","M10019","100","g","0.0","g","0.0","g",""
"Chicken, liver, raw","M10021","75","g","0.0","g","0.0","g",""
"Chicken, whole, composite cuts, smoked, skin off","M10020","100","g","0.0","g","0.0","g",""
"Chicken, breast, lean, separable fat & skin, fresh, raw","M10032","130","g","0.0","g","0.0","g",""
"Chicken, breast, lean and separable fat, fresh, raw","M10031","130","g","0.0","g","0.0","g",""
"Chicken, wing, lean and separable fat, fresh, raw","M10034","130","g","0.0","g","0.0","g",""
"Chicken, wing, lean, separable fat & skin, fresh, raw","M10035","130","g","0.0","g","0.0","g",""
"Chicken, breast, lean, separable fat & skin, baked or roasted, no fat or salt added","M10033","100","g","0.0","g","0.0","g",""
"Chicken, light meat, lean, fresh, raw","M10037","130","g","0.0","g","0.0","g",""
"Chicken, wing, lean, separable fat & skin, baked or roasted, no fat or salt added","M10036","100","g","0.0","g","0.0","g",""
"Chicken, light meat, lean, separable fat & skin, fresh, raw","M10039","130","g","0.0","g","0.0","g",""
"Chicken, light meat, lean & separable fat, fresh, raw","M10038","130","g","0.0","g","0.0","g",""
"Chicken, breast, lean, fresh, stewed or boiled, no salt added","M10041","100","g","0.0","g","0.0","g",""
"Chicken, breast, lean, fresh, baked or roasted, no fat or salt added","M10040","100","g","0.0","g","0.0","g",""
"Chicken, light meat, lean, baked or roasted, no fat or salt added","M10044","100","g","0.0","g","0.0","g",""
"Chicken, wing, flesh, lean, baked or roasted, no fat or salt added","M10042","100","g","0.0","g","0.0","g",""
"Chicken, wing, flesh, lean, fresh, stewed or boiled, no salt added","M10043","100","g","0.0","g","0.0","g",""
"Chicken, light meat, lean & separable fat, baked or roasted (skin removed before eaten), no salt or fat added","M10045","100","g","0.0","g","0.0","g",""
"Chicken, light meat, lean, fresh stewed or boiled, no salt added","M10047","100","g","0.0","g","0.0","g",""
"Chicken, light meat, lean, separable fat & skin, baked or roasted, no salt or fat added","M10046","100","g","0.0","g","0.0","g",""
"Chicken, drumstick, flesh, lean, stewed or boiled, no salt added","M10049","100","g","0.0","g","0.0","g",""
"Chicken, drumstick, flesh, lean, baked or roasted, no salt or fat added","M10048","100","g","0.0","g","0.0","g",""
"Chicken, drumstick, flesh, lean, separable fat & skin, fresh, raw","M10051","130","g","0.0","g","0.0","g",""
"Chicken, drumstick, flesh, lean & separable fat, fresh, raw","M10050","130","g","0.0","g","0.0","g",""
"Chicken, thigh, flesh, lean, baked or roasted, no salt or fat added","M10053","100","g","0.0","g","0.0","g",""
"Chicken, drumstick, flesh, lean, separable fat & skin, fresh, baked or roasted, no salt or fat added","M10052","100","g","0.0","g","0.0","g",""
"Chicken, thigh, flesh, lean & separable fat, fresh, raw","M10055","130","g","0.0","g","0.0","g",""
"Chicken, thigh, flesh, lean, fresh, stewed or boiled, no salt and fat added","M10054","100","g","0.0","g","0.0","g",""
"Chicken, thigh, flesh, lean, separable fat & skin, fresh, baked or roasted, no salt and fat added","M10057","100","g","0.0","g","0.0","g",""
